,form,var_name,description,var_type,source,type,subtype
247,"A1
Subject Demographics",RESIDENC,Type of residence,Original UDS question,v1-3,x,reported
248,"A1
Subject Demographics",HANDED,Is the subject left- or right-handed?,Original UDS question,v1-3,x,reported
249,"A1
Subject Demographics",NACCAGE,Subject’s age at visit,NACC derived variable,v1-3,x,reported
250,"A1
Subject Demographics",NACCAGEB,Subject’s age at initial visit,NACC derived variable,v1-3,x,reported
251,"A1
Subject Demographics",NACCNIHR,Derived NIH race definitions,NACC derived variable,v1-3,x,reported
252,"A2
Co-participant Demographics",INBIRMO,Co-participant’s month of birth,Original UDS question,v1-3,method,method
253,"A2
Co-participant Demographics",INBIRYR,Co-participant’s year of birth,Original UDS question,v1-3,method,method
254,"A2
Co-participant Demographics",INSEX,Co-participant’s sex,Original UDS question,v1-3,method,method
255,"A2
Co-participant Demographics",NEWINF,"Is this a new co-participant — i.e., one 
who was not a co-participant at any past 
UDS visit?",Original UDS question,v1-3,method,method
256,"A2
Co-participant Demographics",INHISP,Co-participant Hispanic/Latino ethnicity,Original UDS question,v1-3,method,method
257,"A2
Co-participant Demographics",INHISPOR,Co-participant’s Hispanic origins,Original UDS question,v1-3,method,method
259,"A2
Co-participant Demographics",INRACE,Co-participant race,Original UDS question,v1-3,method,method
261,"A2
Co-participant Demographics",INRASEC,Co-participant second race,Original UDS question,v1-3,method,method
263,"A2
Co-participant Demographics",INRATER,Co-participant third race,Original UDS question,v1-3,method,method
265,"A2
Co-participant Demographics",INEDUC,Co-participant’s years of education,Original UDS question,v1-3,method,method
266,"A2
Co-participant Demographics",INRELTO,Co-participant’s relationship to subject,Original UDS question,v1-3,method,method
268,"A2
Co-participant Demographics",INKNOWN,"How long has the co-participant known 
the subject?",Original UDS question,v3,method,method
269,"A2
Co-participant Demographics",INLIVWTH,"Does the co-participant live with the 
subject?",Original UDS question,v1-3,method,method
271,"A2
Co-participant Demographics",INVISITS,"If no, approximate frequency of in-
person visits?",Original UDS question,v1-3,method,method
272,"A2
Co-participant Demographics",INCALLS,"If no, approximate frequency of 
telephone contact?",Original UDS question,v1-3,method,method
273,"A2
Co-participant Demographics",INRELY,"Is there a question about the co-
participant’s reliability?",Original UDS question,v1-3,method,method
274,"A2
Co-participant Demographics",NACCNINR,Derived NIH race definitions,NACC derived variable,v1-3,method,method
275,"A3
Subject Family History",NACCFAM,"Indicator of first-degree family member 
with cognitive impairment",NACC derived variable,v1-3,x,reported
276,"A3
Subject Family History",NACCMOM,"Indicator of mother with cognitive 
impairment",NACC derived variable,v1-3,x,reported
277,"A3
Subject Family History",NACCDAD,"Indicator of father with cognitive 
impairment",NACC derived variable,v1-3,x,reported
278,"A3
Subject Family History",NACCFADM,"In this family, is there evidence of a 
dominantly inherited AD mutation?",NACC derived variable,v3,x,reported
279,"A3
Subject Family History",NACCAM,"In this family, is there evidence for 
an AD mutation (from list of specific 
mutations)?",NACC derived variable,v3,x,reported
281,"A3
Subject Family History",NACCAMS,Source of evidence for AD mutation,NACC derived variable,v3,method,method
283,"A3
Subject Family History",NACCFFTD,"In this family, is there evidence for an 
FTLD mutation?",NACC derived variable,v3,x,reported
284,"A3
Subject Family History",NACCFM,"In this family, is there evidence for an 
FTLD mutation (from list of specific 
mutations)?",NACC derived variable,v3,x,reported
286,"A3
Subject Family History",NACCFMS,Source of evidence for FTLD mutation,NACC derived variable,v3,method,method
288,"A3
Subject Family History",NACCOM,"In this family, is there evidence for a 
mutation other than an AD or FTLD 
mutation?",NACC derived variable,v3,x,reported
290,"A3
Subject Family History",NACCOMS,Source of evidence for other mutation,NACC derived variable,v3,method,method
292,"A4
Subject Medications",ANYMEDS,Subject taking any medications,Original UDS question,v1-3,x,reported
294,"A4
Subject Medications",NACCAMD,"Total number of medications reported at  
each visit",NACC derived variable,v1-3,x,reported
295,"A4
Subject Medications",NACCAHTN,"Reported current use of any type of 
antihypertensive or blood pressure 
medication",NACC derived variable,v1-3,x,reported
296,"A4
Subject Medications",NACCHTNC,"Reported current use of an 
antihypertensive combination therapy",NACC derived variable,v1-3,x,reported
297,"A4
Subject Medications",NACCACEI,"Reported current use of an angiotensin 
converting enzyme (ACE) inhibitor",NACC derived variable,v1-3,x,reported
299,"A4
Subject Medications",NACCAAAS,"Reported current use of an 
antiadrenergic agent",NACC derived variable,v1-3,x,reported
300,"A4
Subject Medications",NACCBETA,"Reported current use of a beta-
adrenergic blocking agent (Beta-Blocker)",NACC derived variable,v1-3,x,reported
301,"A4
Subject Medications",NACCCCBS,"Reported current use of a calcium 
channel blocking agent",NACC derived variable,v1-3,x,reported
302,"A4
Subject Medications",NACCDIUR,Reported current use of a diuretic,NACC derived variable,v1-3,x,reported
303,"A4
Subject Medications",NACCVASD,Reported current use of a vasodilator,NACC derived variable,v1-3,x,reported
304,"A4
Subject Medications",NACCANGI,"Reported current use of an angiotensin 
II inhibitor",NACC derived variable,v1-3,x,reported
305,"A4
Subject Medications",NACCLIPL,"Reported current use of lipid lowering 
medication",NACC derived variable,v1-3,x,reported
306,"A4
Subject Medications",NACCNSD,"Reported current use of nonsteroidal 
anti-inflammatory medication",NACC derived variable,v1-3,x,reported
307,"A4
Subject Medications",NACCAC,"Reported current use of an anticoagulant 
or antiplatelet agent",NACC derived variable,v1-3,x,reported
308,"A4
Subject Medications",NACCADEP,"Reported current use of an 
antidepressant",NACC derived variable,v1-3,x,reported
309,"A4
Subject Medications",NACCAPSY,"Reported current use of an antipsychotic 
agent",NACC derived variable,v1-3,x,reported
310,"A4
Subject Medications",NACCAANX,"Reported current use of an anxiolytic, 
sedative, or hypnotic agent",NACC derived variable,v1-3,x,reported
311,"A4
Subject Medications",NACCADMD,"Reported current use of a FDA-approved 
medication for Alzheimer’s disease 
symptoms",NACC derived variable,v1-3,x,reported
312,"A4
Subject Medications",NACCPDMD,"Reported current use of an antiparkinson 
agent",NACC derived variable,v1-3,x,reported
313,"A4
Subject Medications",NACCEMD,"Reported current use of estrogen 
hormone therapy",NACC derived variable,v1-3,x,reported
314,"A4
Subject Medications",NACCEPMD,"Reported current use of estrogen + 
progestin hormone therapy",NACC derived variable,v1-3,x,reported
315,"A4
Subject Medications",NACCDBMD,"Reported current use of a diabetes 
medication",NACC derived variable,v1-3,x,reported
316,"A5
Subject Health History",TOBAC30,Smoked cigarettes in last 30 days,Original UDS question,v1-3,x,reported
317,"A5
Subject Health History",TOBAC100,Smoked more than 100 cigarettes in life,Original UDS question,v1-3,x,reported
318,"A5
Subject Health History",SMOKYRS,Total years smoked cigarettes,Original UDS question,v1-3,x,reported
319,"A5
Subject Health History",PACKSPER,"Average number of packs smoked per 
day",Original UDS question,v1-3,x,reported
320,"A5
Subject Health History",QUITSMOK,"If the subject quit smoking, age at which 
he/she last smoked (i.e., quit)",Original UDS question,v1-3,x,reported
321,"A5
Subject Health History",ALCOCCAS,"In the past three months, has the 
subject consumed any alcohol?",Original UDS question,v3,x,reported
322,"A5
Subject Health History",ALCFREQ,"During the past three months, how often 
did the subject have at least one drink 
of any alcoholic beverage such as wine, 
beer, malt liquor, or spirits?",Original UDS question,v3,x,reported
323,"A5
Subject Health History",CVHATT,Heart attack/cardiac arrest,Original UDS question,v1-3,x,reported
325,"A5
Subject Health History",HATTMULT,"More than one heart attack/cardiac 
arrest?",Original UDS question,v3,x,reported
326,"A5
Subject Health History",HATTYEAR,Year of most recent heart attack,Original UDS question,v3,x,reported
327,"A5
Subject Health History",CVAFIB,Atrial fibrillation,Original UDS question,v1-3,x,reported
328,"A5
Subject Health History",CVANGIO,Angioplasty/endarterectomy/stent,Original UDS question,v1-3,x,reported
329,"A5
Subject Health History",CVBYPASS,Cardiac bypass procedure,Original UDS question,v1-3,x,reported
330,"A5
Subject Health History",CVPACDEF,Pacemaker and/or defibrillator,Original UDS question,v3,x,reported
331,"A5
Subject Health History",CVPACE,Pacemaker,Original UDS question,v1-2,x,reported
332,"A5
Subject Health History",CVCHF,Congestive heart failure,Original UDS question,v1-3,x,reported
333,"A5
Subject Health History",CVANGINA,Angina,Original UDS question,v3,x,reported
334,"A5
Subject Health History",CVHVALVE,Heart valve replacement or repair,Original UDS question,v3,x,reported
335,"A5
Subject Health History",CVOTHR,Other cardiovascular disease,Original UDS question,v1-3,x,reported
337,"A5
Subject Health History",CBSTROKE,Stroke,Original UDS question,v1-3,x,reported
338,"A5
Subject Health History",STROKMUL,"More than one stroke reported as of the 
Initial Visit",Original UDS question,v3,x,reported
339,"A5
Subject Health History",NACCSTYR,"Most recently reported year of stroke as 
of the Initial Visit",NACC derived variable,v1-3,x,reported
340,"A5
Subject Health History",CBTIA,Transient ischemic attack (TIA),Original UDS question,v1-3,x,reported
341,"A5
Subject Health History",TIAMULT,"More than one TIA reported as of the 
Initial Visit",Original UDS question,v3,x,reported
342,"A5
Subject Health History",NACCTIYR,"Most recently reported year of TIA as of 
the Initial Visit",NACC derived variable,v1-3,x,reported
343,"A5
Subject Health History",PD,Parkinson’s disease (PD),Original UDS question,v1-3,x,reported
344,"A5
Subject Health History",PDYR,Year of PD diagnosis,Original UDS question,v1-3,x,reported
345,"A5
Subject Health History",PDOTHR,Other parkinsonian disorder,Original UDS question,v1-3,x,reported
346,"A5
Subject Health History",PDOTHRYR,Year of parkinsonian disorder diagnosis,Original UDS question,v1-3,x,reported
347,"A5
Subject Health History",SEIZURES,Seizures,Original UDS question,v1-3,x,reported
348,"A5
Subject Health History",TBI,Traumatic brain injury (TBI),Original UDS question,v3,x,reported
349,"A5
Subject Health History",TBIBRIEF,"Traumatic brain injury (TBI) with brief 
loss of consciousness",Original UDS question,v3,x,reported
350,"A5
Subject Health History",TRAUMBRF,Brain trauma — brief unconsciousness,Original UDS question,v1-2,x,reported
351,"A5
Subject Health History",TBIEXTEN,"TBI with extended loss of consciousness 
— 5 minutes of longer",Original UDS question,v3,x,reported
352,"A5
Subject Health History",TRAUMEXT,"Brain trauma — extended 
unconsciousness",Original UDS question,v1-2,x,reported
353,"A5
Subject Health History",TBIWOLOS,"TBI without loss of consciousness — as 
might result from military detonations or 
sports injury",Original UDS question,v3,x,reported
354,"A5
Subject Health History",TRAUMCHR,Brain trauma — chronic deficit,Original UDS question,v1-2,x,reported
355,"A5
Subject Health History",TBIYEAR,Year of most recent TBI,Original UDS question,v3,x,reported
356,"A5
Subject Health History",NCOTHR,Other neurological condition,Original UDS question,v1-2,x,reported
358,"A5
Subject Health History",DIABETES,Diabetes,Original UDS question,v1-3,x,reported
360,"A5
Subject Health History",DIABTYPE,"If Recent/active or Remote/inactive 
diabetes, which type?",Original UDS question,v3,x,reported
361,"A5
Subject Health History",HYPERTEN,Hypertension,Original UDS question,v1-3,x,reported
362,"A5
Subject Health History",HYPERCHO,Hypercholesterolemia,Original UDS question,v1-3,x,reported
363,"A5
Subject Health History",B12DEF,Vitamin B12 deficiency,Original UDS question,v1-3,x,reported
364,"A5
Subject Health History",THYROID,Thyroid disease,Original UDS question,v1-3,x,reported
365,"A5
Subject Health History",ARTHRIT,Arthritis,Original UDS question,v3,x,reported
366,"A5
Subject Health History",ARTHTYPE,Type of arthritis,Original UDS question,v3,x,reported
368,"A5
Subject Health History",ARTHUPEX,"Arthritis, region affected — upper 
extremity",Original UDS question,v3,x,reported
369,"A5
Subject Health History",ARTHLOEX,"Arthritis, region affected — lower 
extremity",Original UDS question,v3,x,reported
370,"A5
Subject Health History",ARTHSPIN,"Arthritis, region affected — spine",Original UDS question,v3,x,reported
371,"A5
Subject Health History",ARTHUNK,Region affected — unknown,Original UDS question,v3,x,reported
372,"A5
Subject Health History",INCONTU,Incontinence — urinary,Original UDS question,v1-3,x,reported
373,"A5
Subject Health History",INCONTF,Incontinence — bowel,Original UDS question,v1-3,x,reported
374,"A5
Subject Health History",APNEA,"Sleep apnea history reported at Initial 
Visit",Original UDS question,v3,x,reported
375,"A5
Subject Health History",RBD,"REM sleep behavior disorder (RBD) 
history reported at Initial Visit",Original UDS question,v3,x,reported
376,"A5
Subject Health History",INSOMN,"Hyposomnia/insomnia history reported at 
Initial Visit",Original UDS question,v3,x,reported
377,"A5
Subject Health History",OTHSLEEP,"Other sleep disorder history reported at 
Initial Visit",Original UDS question,v3,x,reported
379,"A5
Subject Health History",ALCOHOL,"Alcohol abuse — clinically significant 
occurring over a 12-month period 
manifested in one of the following areas: 
work, driving, legal, or social",Original UDS question,v1-3,x,reported
380,"A5
Subject Health History",ABUSOTHR,"Other abused substances — clinically 
significant impairment occurring over a 
12-month period manifested in one of 
the following areas: work, driving, legal, 
or social",Original UDS question,v1-3,x,reported
382,"A5
Subject Health History",PTSD,Post-traumatic stress disorder (PTSD),Original UDS question,v3,x,reported
383,"A5
Subject Health History",BIPOLAR,Bipolar disorder,Original UDS question,v3,x,reported
384,"A5
Subject Health History",SCHIZ,Schizophrenia,Original UDS question,v3,x,reported
385,"A5
Subject Health History",DEP2YRS,Active depression in the last two years,Original UDS question,v1-3,x,reported
386,"A5
Subject Health History",DEPOTHR,"Depression episodes more than two years 
ago",Original UDS question,v1-3,x,reported
387,"A5
Subject Health History",ANXIETY,Anxiety,Original UDS question,v3,x,reported
388,"A5
Subject Health History",OCD,Obsessive-compulsive disorder (OCD),Original UDS question,v3,x,reported
390,"A5
Subject Health History",NPSYDEV,"Developmental neuropsychiatric 
disorders (e.g., autism spectrum disorder 
[ASD], attention-deficit hyperactivity 
disorder [ADHD], dyslexia)",Original UDS question,v3,x,reported
391,"A5
Subject Health History",PSYCDIS,Other psychiatric disorder,Original UDS question,v1-3,x,reported
393,"A5
Subject Health History",NACCTBI,History of traumatic brain injury (TBI),NACC derived variable,v1-3,x,reported
394,"B1
Physical",HEIGHT,Subject’s height (inches),Original UDS question,v1-3,x,reported
395,"B1
Physical",WEIGHT,Subject’s weight (lbs),Original UDS question,v1-3,x,reported
396,"B1
Physical",NACCBMI,Body mass index (BMI),NACC derived variable,v1-3,x,reported
397,"B1
Physical",BPSYS,"Subject blood pressure (sitting), systolic",Original UDS question,v1-3,x,reported
398,"B1
Physical",BPDIAS,"Subject blood pressure (sitting), diastolic",Original UDS question,v1-3,x,reported
399,"B1
Physical",HRATE,Subject resting heart rate (pulse),Original UDS question,v1-3,x,reported
400,"B1
Physical",VISION,"Without corrective lenses, is the 
subject’s vision functionally normal?",Original UDS question,v1-3,x,reported
401,"B1
Physical",VISCORR,"Does the subject usually wear corrective 
lenses?",Original UDS question,v1-3,x,reported
402,"B1
Physical",VISWCORR,"If the subject usually wears corrective 
lenses, is the subject’s vision 
functionally normal with corrective 
lenses?",Original UDS question,v1-3,x,reported
403,"B1
Physical",HEARING,"Without a hearing aid(s), is the subject’s 
hearing functionally normal?",Original UDS question,v1-3,x,reported
404,"B1
Physical",HEARAID,"Does the subject usually wear a hearing 
aid(s)?",Original UDS question,v1-3,x,reported
405,"B1
Physical",HEARWAID,"If the subject usually wears a hearing 
aid(s), is the subject’s hearing 
functionally normal with a hearing 
aid(s)?",Original UDS question,v1-3,x,reported
406,B2 HIS and CVD,ABRUPT,Abrupt onset (re: cognitive status),Original UDS question,v1-2,x,reported
407,B2 HIS and CVD,STEPWISE,"Stepwise deterioration (re: cognitive 
status)",Original UDS question,v1-2,x,reported
408,B2 HIS and CVD,SOMATIC,Somatic complaints,Original UDS question,v1-2,x,reported
409,B2 HIS and CVD,EMOT,Emotional incontinence,Original UDS question,v1-2,x,reported
410,B2 HIS and CVD,HXHYPER,History or presence of hypertension,Original UDS question,v1-2,x,reported
411,B2 HIS and CVD,HXSTROKE,History of stroke,Original UDS question,v1-2,x,reported
412,B2 HIS and CVD,FOCLSYM,Focal neurological symptoms,Original UDS question,v1-2,x,reported
413,B2 HIS and CVD,FOCLSIGN,Focal neurological signs,Original UDS question,v1-2,x,reported
414,B2 HIS and CVD,HACHIN,Hachinski ischemic score,Original UDS question,v1-2,x,reported
415,B2 HIS and CVD,CVDCOG,"Cerebrovascular disease contributing to 
cognitive impairment",Original UDS question,v2,x,reported
416,B2 HIS and CVD,STROKCOG,"Relationship between stroke and 
cognitive impairment",Original UDS question,v2,x,reported
417,B2 HIS and CVD,CVDIMAG,Imaging evidence,Original UDS question,v2,x,imaging
418,B2 HIS and CVD,CVDIMAG1,Single strategic infarct,Original UDS question,v2,x,imaging
419,B2 HIS and CVD,CVDIMAG2,Multiple infarcts,Original UDS question,v2,x,imaging
421,B2 HIS and CVD,CVDIMAG3,Extensive white matter hyperintensity,Original UDS question,v2,x,imaging
422,B2 HIS and CVD,CVDIMAG4,Other imaging evidence,Original UDS question,v2,x,imaging
424,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",PDNORMAL,UPDRS normal,Original UDS question,v1-2,x,reported
425,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",SPEECH,Speech,Original UDS question,v1-2,x,reported
427,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",FACEXP,Facial expression,Original UDS question,v1-2,x,reported
429,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",TRESTFAC,"Tremor at rest — face, lips, chin",Original UDS question,v1-2,x,reported
431,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",TRESTRHD,Tremor at rest — right hand,Original UDS question,v1-2,x,reported
433,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",TRESTLHD,Tremor at rest — left hand,Original UDS question,v1-2,x,reported
435,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",TRESTRFT,Tremor at rest — right foot,Original UDS question,v1-2,x,reported
437,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",TRESTLFT,Tremor at rest — left foot,Original UDS question,v1-2,x,reported
439,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",TRACTRHD,Action or postural tremor — right hand,Original UDS question,v1-2,x,reported
441,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",TRACTLHD,Action or postural tremor — left hand,Original UDS question,v1-2,x,reported
443,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",RIGDNECK,Rigidity — neck,Original UDS question,v1-2,x,reported
445,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",RIGDUPRT,Rigidity — right upper extremity,Original UDS question,v1-2,x,reported
448,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",RIGDUPLF,Rigidity — left upper extremity,Original UDS question,v1-2,x,reported
450,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",RIGDLORT,Rigidity — right lower extremity,Original UDS question,v1-2,x,reported
452,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",RIGDLOLF,Rigidity — left lower extremity,Original UDS question,v1-2,x,reported
454,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",TAPSRT,Finger taps — right hand,Original UDS question,v1-2,x,reported
456,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",TAPSLF,Finger taps — left hand,Original UDS question,v1-2,x,reported
458,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",HANDMOVR,Hand movements — right hand,Original UDS question,v1-2,x,reported
460,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",HANDMOVL,Hand movements — left hand,Original UDS question,v1-2,x,reported
462,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",HANDALTR,Alternating movement — right hand,Original UDS question,v1-2,x,reported
464,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",HANDALTL,Alternating movement — left hand,Original UDS question,v1-2,x,reported
466,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",LEGRT,Leg agility — right leg,Original UDS question,v1-2,x,reported
468,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",LEGLF,Leg agility — left leg,Original UDS question,v1-2,x,reported
470,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",ARISING,Arising from chair,Original UDS question,v1-2,x,reported
473,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",POSTURE,Posture,Original UDS question,v1-2,x,reported
475,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",GAIT,Gait,Original UDS question,v1-2,x,reported
477,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",POSSTAB,Posture stability,Original UDS question,v1-2,x,reported
479,"B3 Unified Parkinson’s Disease Rating 
Scale (UPDRS)",BRADYKIN,Body bradykinesia and hypokinesia,Original UDS question,v1-2,x,reported
481,"B4
CDR® Plus NACC FTLD",MEMORY,Memory,Original UDS question,v1-3,x,reported
482,"B4
CDR® Plus NACC FTLD",ORIENT,Orientation,Original UDS question,v1-3,x,reported
483,"B4
CDR® Plus NACC FTLD",JUDGMENT,Judgment and problem-solving,Original UDS question,v1-3,x,reported
484,"B4
CDR® Plus NACC FTLD",COMMUN,Community affairs,Original UDS question,v1-3,x,reported
485,"B4
CDR® Plus NACC FTLD",HOMEHOBB,Home and hobbies,Original UDS question,v1-3,x,reported
486,"B4
CDR® Plus NACC FTLD",PERSCARE,Personal care,Original UDS question,v1-3,x,reported
487,"B4
CDR® Plus NACC FTLD",CDRSUM,CDR® sum of boxes,Original UDS question,v1-3,x,test
488,"B4
CDR® Plus NACC FTLD",CDRGLOB,Global CDR®,Original UDS question,v1-3,x,test
489,"B4
CDR® Plus NACC FTLD",COMPORT,"Behavior, comportment, and personality",Original UDS question,v2-3,x,reported
490,"B4
CDR® Plus NACC FTLD",CDRLANG,Language,Original UDS question,v2-3,x,reported
491,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",NPIQINF,NPI-Q co-participant,Original UDS question,v1-3,method,method
493,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",DEL,Delusions in the last month,Original UDS question,v1-3,x,reported
494,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",DELSEV,Delusions severity,Original UDS question,v1-3,x,reported
495,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",HALL,Hallucinations in the last month,Original UDS question,v1-3,x,reported
496,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",HALLSEV,Hallucinations severity,Original UDS question,v1-3,x,reported
497,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",AGIT,Agitation or aggression in the last month,Original UDS question,v1-3,x,reported
498,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",AGITSEV,Agitation or aggression severity,Original UDS question,v1-3,x,reported
499,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",DEPD,"Depression or dysphoria in the last 
month",Original UDS question,v1-3,x,reported
500,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",DEPDSEV,Depression or dysphoria severity,Original UDS question,v1-3,x,reported
501,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",ANX,Anxiety in the last month,Original UDS question,v1-3,x,reported
503,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",ANXSEV,Anxiety severity,Original UDS question,v1-3,x,reported
504,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",ELAT,Elation or euphoria in the last month,Original UDS question,v1-3,x,reported
505,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",ELATSEV,Elation or euphoria severity,Original UDS question,v1-3,x,reported
506,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",APA,Apathy or indifference in the last month,Original UDS question,v1-3,x,reported
507,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",APASEV,Apathy or indifference severity,Original UDS question,v1-3,x,reported
508,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",DISN,Disinhibition in the last month,Original UDS question,v1-3,x,reported
509,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",DISNSEV,Disinhibition severity,Original UDS question,v1-3,x,reported
510,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",IRR,Irritability or lability in the last month,Original UDS question,v1-3,x,reported
511,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",IRRSEV,Irritability or lability severity,Original UDS question,v1-3,x,reported
512,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",MOT,Motor disturbance in the last month,Original UDS question,v1-3,x,reported
513,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",MOTSEV,Motor disturbance severity,Original UDS question,v1-3,x,reported
514,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",NITE,Nighttime behaviors in the last month,Original UDS question,v1-3,x,reported
515,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",NITESEV,Nighttime behaviors severity,Original UDS question,v1-3,x,reported
516,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",APP,"Appetite and eating problems in the last 
month",Original UDS question,v1-3,x,reported
517,"B5 Neuropsychiatric Inventory 
Questionnaire (NPI-Q)",APPSEV,Appetite and eating severity,Original UDS question,v1-3,x,reported
518,"B6
Geriatric Depression Scale (GDS)",NOGDS,"Is the subject able to complete the GDS, 
based on the clinician’s best judgment?",Original UDS question,v1-3,method,method
519,"B6
Geriatric Depression Scale (GDS)",SATIS,Are you basically satisfied with your life?,Original UDS question,v1-3,x,reported
520,"B6
Geriatric Depression Scale (GDS)",DROPACT,"Have you dropped many of your activities 
and interests?",Original UDS question,v1-3,x,reported
521,"B6
Geriatric Depression Scale (GDS)",EMPTY,Do you feel that your life is empty?,Original UDS question,v1-3,x,reported
522,"B6
Geriatric Depression Scale (GDS)",BORED,Do you often get bored?,Original UDS question,v1-3,x,reported
523,"B6
Geriatric Depression Scale (GDS)",SPIRITS,Are you in good spirits most of the time?,Original UDS question,v1-3,x,reported
524,"B6
Geriatric Depression Scale (GDS)",AFRAID,"Are you afraid that something bad is 
going to happen to you?",Original UDS question,v1-3,x,reported
525,"B6
Geriatric Depression Scale (GDS)",HAPPY,Do you feel happy most of the time?,Original UDS question,v1-3,x,reported
526,"B6
Geriatric Depression Scale (GDS)",HELPLESS,Do you often feel helpless?,Original UDS question,v1-3,x,reported
527,"B6
Geriatric Depression Scale (GDS)",STAYHOME,"Do you prefer to stay at home, rather 
than going out and doing new things?",Original UDS question,v1-3,x,reported
528,"B6
Geriatric Depression Scale (GDS)",MEMPROB,"Do you feel you have more problems with 
memory than most?",Original UDS question,v1-3,x,reported
529,"B6
Geriatric Depression Scale (GDS)",WONDRFUL,"Do you think it is wonderful to be alive 
now?",Original UDS question,v1-3,x,reported
531,"B6
Geriatric Depression Scale (GDS)",WRTHLESS,"Do you feel pretty worthless the way you 
are now?",Original UDS question,v1-3,x,reported
532,"B6
Geriatric Depression Scale (GDS)",ENERGY,Do you feel full of energy?,Original UDS question,v1-3,x,reported
533,"B6
Geriatric Depression Scale (GDS)",HOPELESS,"Do you feel that your situation is 
hopeless?",Original UDS question,v1-3,x,reported
534,"B6
Geriatric Depression Scale (GDS)",BETTER,"Do you think that most people are better 
off than you are?",Original UDS question,v1-3,x,reported
535,"B6
Geriatric Depression Scale (GDS)",NACCGDS,Total GDS Score,NACC derived variable,v1-3,x,reported
536,"B7
Functional Activities Questionnaire 
(FAQ)",BILLS,"In the past four weeks, did the subject 
have any difficulty or need help with: 
Writing checks, paying bills, or balancing 
a checkbook",Original UDS question,v1-3,x,reported
537,"B7
Functional Activities Questionnaire 
(FAQ)",TAXES,"In the past four weeks, did the subject 
have any difficulty or need help with: 
Assembling tax records, business affairs, 
or other paper",Original UDS question,v1-3,x,reported
538,"B7
Functional Activities Questionnaire 
(FAQ)",SHOPPING,"In the past four weeks, did the subject 
have any difficulty or need help with: 
Shopping alone for clothes, household 
necessities, or groceries",Original UDS question,v1-3,x,reported
