,Unnamed: 0,form,var_name,description,var_type,source,type,subtype
458,534,"B6
Geriatric Depression Scale (GDS)",BETTER,"Do you think that most people are better 
off than you are?",Original UDS question,v1-3,x,reported
459,535,"B6
Geriatric Depression Scale (GDS)",NACCGDS,Total GDS Score,NACC derived variable,v1-3,x,reported
460,536,"B7
Functional Activities Questionnaire 
(FAQ)",BILLS,"In the past four weeks, did the subject 
have any difficulty or need help with: 
Writing checks, paying bills, or balancing 
a checkbook",Original UDS question,v1-3,x,reported
461,537,"B7
Functional Activities Questionnaire 
(FAQ)",TAXES,"In the past four weeks, did the subject 
have any difficulty or need help with: 
Assembling tax records, business affairs, 
or other paper",Original UDS question,v1-3,x,reported
462,538,"B7
Functional Activities Questionnaire 
(FAQ)",SHOPPING,"In the past four weeks, did the subject 
have any difficulty or need help with: 
Shopping alone for clothes, household 
necessities, or groceries",Original UDS question,v1-3,x,reported
463,539,"B7
Functional Activities Questionnaire 
(FAQ)",GAMES,"In the past four weeks, did the subject 
have any difficulty or need help with: 
Playing a game of skill such as bridge or 
chess, working on a hobby",Original UDS question,v1-3,x,reported
464,540,"B7
Functional Activities Questionnaire 
(FAQ)",STOVE,"In the past four weeks, did the subject 
have any difficulty or need help with: 
Heating water, making a cup of coffee, 
turning off the stove",Original UDS question,v1-3,x,reported
465,541,"B7
Functional Activities Questionnaire 
(FAQ)",MEALPREP,"In the past four weeks, did the subject 
have any difficulty or need help with: 
Preparing a balanced meal",Original UDS question,v1-3,x,reported
466,542,"B7
Functional Activities Questionnaire 
(FAQ)",EVENTS,"In the past four weeks, did the subject 
have any difficulty or need help with: 
Keeping track of current events",Original UDS question,v1-3,x,reported
467,543,"B7
Functional Activities Questionnaire 
(FAQ)",PAYATTN,"In the past four weeks, did the subject 
have any difficulty or need help with: 
Paying attention to and understanding a 
TV program, book, or magazine",Original UDS question,v1-3,x,reported
468,544,"B7
Functional Activities Questionnaire 
(FAQ)",REMDATES,"In the past four weeks, did the subject 
have any difficulty or need help with: 
Remembering appointments, family 
occasions, holidays, medications",Original UDS question,v1-3,x,reported
469,545,"B7
Functional Activities Questionnaire 
(FAQ)",TRAVEL,"In the past four weeks, did the subject 
have any difficulty or need help with: 
Traveling out of the neighborhood, 
driving, or arranging to take public 
transportation",Original UDS question,v1-3,x,reported
470,546,"B8
Physical/Neurological Exam 
Findings",NACCNREX,Were all findings unremarkable?,NACC derived variable,v1-3,x,reported
471,547,"B8
Physical/Neurological Exam 
Findings",NORMEXAM,"Were there abnormal neurological exam 
findings?",Original UDS question,v3,x,reported
472,549,"B8
Physical/Neurological Exam 
Findings",FOCLDEF,"Are focal deficits present indicative of 
central nervous system disorder?",Original UDS question,v1-2,x,reported
473,550,"B8
Physical/Neurological Exam 
Findings",GAITDIS,"Is gait disorder present indicative of 
central nervous system disorder?",Original UDS question,v1-2,x,reported
474,551,"B8
Physical/Neurological Exam 
Findings",EYEMOVE,"Are there eye movement abnormalities 
present indicative of central nervous 
system disorder?",Original UDS question,v1-2,x,reported
475,552,"B8
Physical/Neurological Exam 
Findings",PARKSIGN,Parkinsonian signs,Original UDS question,v3,x,reported
476,553,"B8
Physical/Neurological Exam 
Findings",RESTTRL,Resting tremor — left arm,Original UDS question,v3,x,reported
477,554,"B8
Physical/Neurological Exam 
Findings",RESTTRR,Resting tremor — right arm,Original UDS question,v3,x,reported
478,555,"B8
Physical/Neurological Exam 
Findings",SLOWINGL,"Slowing of fine motor movements — left 
side",Original UDS question,v3,x,reported
479,556,"B8
Physical/Neurological Exam 
Findings",SLOWINGR,"Slowing of fine motor movements — 
right side",Original UDS question,v3,x,reported
480,557,"B8
Physical/Neurological Exam 
Findings",RIGIDL,Rigidity — left arm,Original UDS question,v3,x,reported
481,558,"B8
Physical/Neurological Exam 
Findings",RIGIDR,Rigidity — right arm,Original UDS question,v3,x,reported
482,559,"B8
Physical/Neurological Exam 
Findings",BRADY,Bradykinesia,Original UDS question,v3,x,reported
483,560,"B8
Physical/Neurological Exam 
Findings",PARKGAIT,Parkinsonian gait disorder,Original UDS question,v3,x,reported
484,561,"B8
Physical/Neurological Exam 
Findings",POSTINST,Postural instability,Original UDS question,v3,x,reported
485,562,"B8
Physical/Neurological Exam 
Findings",CVDSIGNS,"Neurological sign considered by 
examiner to be most likely consistent 
with cerebrovascular disease",Original UDS question,v3,x,reported
486,563,"B8
Physical/Neurological Exam 
Findings",CORTDEF,"Cortical cognitive deficit (e.g., aphasia, 
apraxia, neglect)",Original UDS question,v3,x,reported
487,564,"B8
Physical/Neurological Exam 
Findings",SIVDFIND,"Focal or other neurological findings 
consistent with SIVD (subcortical 
ischemic vascular dementia)",Original UDS question,v3,x,reported
488,565,"B8
Physical/Neurological Exam 
Findings",CVDMOTL,"Motor (may include weakness of 
combination of face, arm, and leg; reflex 
changes, etc.) — left side",Original UDS question,v3,x,reported
489,566,"B8
Physical/Neurological Exam 
Findings",CVDMOTR,"Motor (may include weakness of 
combination of face, arm, and leg; reflex 
changes, etc.) — right side",Original UDS question,v3,x,reported
490,567,"B8
Physical/Neurological Exam 
Findings",CORTVISL,Cortical visual field loss — left side,Original UDS question,v3,x,reported
491,568,"B8
Physical/Neurological Exam 
Findings",CORTVISR,Cortical visual field loss — right side,Original UDS question,v3,x,reported
492,569,"B8
Physical/Neurological Exam 
Findings",SOMATL,Somatosensory loss — left side,Original UDS question,v3,x,reported
493,570,"B8
Physical/Neurological Exam 
Findings",SOMATR,Somatosensory loss — right side,Original UDS question,v3,x,reported
494,572,"B8
Physical/Neurological Exam 
Findings",POSTCORT,"Higher cortical visual problem suggesting 
posterior cortical atrophy (e.g., 
prosopagnosia, simultagnosia, Balint’s 
syndrome) or apraxia of gaze",Original UDS question,v3,x,reported
495,573,"B8
Physical/Neurological Exam 
Findings",PSPCBS,"Findings suggestive of progressive 
supranuclear palsy (PSP), corticobasal 
syndrome (CBS), or other related 
disorders",Original UDS question,v3,x,reported
496,574,"B8
Physical/Neurological Exam 
Findings",EYEPSP,"Eye movement changes consistent with 
PSP",Original UDS question,v3,x,reported
497,575,"B8
Physical/Neurological Exam 
Findings",DYSPSP,Dysarthria consistent with PSP,Original UDS question,v3,x,reported
498,576,"B8
Physical/Neurological Exam 
Findings",AXIALPSP,Axial rigidity consistent with PSP,Original UDS question,v3,x,reported
499,577,"B8
Physical/Neurological Exam 
Findings",GAITPSP,Gait disorder consistent with PSP,Original UDS question,v3,x,reported
500,578,"B8
Physical/Neurological Exam 
Findings",APRAXSP,Apraxia of speech,Original UDS question,v3,x,reported
501,579,"B8
Physical/Neurological Exam 
Findings",APRAXL,Apraxia consistent with CBS — left side,Original UDS question,v3,x,reported
502,580,"B8
Physical/Neurological Exam 
Findings",APRAXR,Apraxia consistent with CBS — right side,Original UDS question,v3,x,reported
503,581,"B8
Physical/Neurological Exam 
Findings",CORTSENL,"Cortical sensory deficits consistent with 
CBS — left side",Original UDS question,v3,x,reported
504,582,"B8
Physical/Neurological Exam 
Findings",CORTSENR,"Cortical sensory deficits consistent with 
CBS — right side",Original UDS question,v3,x,reported
505,583,"B8
Physical/Neurological Exam 
Findings",ATAXL,Ataxia consistent with CBS — left side,Original UDS question,v3,x,reported
506,584,"B8
Physical/Neurological Exam 
Findings",ATAXR,Ataxia consistent with CBS — right side,Original UDS question,v3,x,reported
507,585,"B8
Physical/Neurological Exam 
Findings",ALIENLML,"Alien limb consistent with CBS — left 
side",Original UDS question,v3,x,reported
508,586,"B8
Physical/Neurological Exam 
Findings",ALIENLMR,"Alien limb consistent with CBS — right 
side",Original UDS question,v3,x,reported
509,587,"B8
Physical/Neurological Exam 
Findings",DYSTONL,"Dystonia consistent with CBS, PSP, or 
related disorder — left side",Original UDS question,v3,x,reported
510,588,"B8
Physical/Neurological Exam 
Findings",DYSTONR,"Dystonia consistent with CBS, PSP, or 
related disorder — right side",Original UDS question,v3,x,reported
511,589,"B8
Physical/Neurological Exam 
Findings",MYOCLLT,"Myoclonus consistent with CBS — left 
side",Original UDS question,v3,x,reported
512,590,"B8
Physical/Neurological Exam 
Findings",MYOCLRT,"Myoclonus consistent with CBS — right 
side",Original UDS question,v3,x,reported
513,591,"B8
Physical/Neurological Exam 
Findings",ALSFIND,"Findings suggesting ALS (e.g., muscle 
wasting, fasciculations, upper motor and/
or lower motor neuron signs)",Original UDS question,v3,x,reported
514,592,"B8
Physical/Neurological Exam 
Findings",GAITNPH,"Normal pressure hydrocephalus — gait 
apraxia",Original UDS question,v3,x,reported
515,593,"B8
Physical/Neurological Exam 
Findings",OTHNEUR,"Other findings (e.g., cerebella ataxia, 
chorea, myoclonus)",Original UDS question,v3,x,reported
516,596,"B9
Clinician Judgment of Symptoms",B9CHG,"Indicate changes in information reported 
at previous visit",Original UDS question,v1,x,reported
517,597,"B9
Clinician Judgment of Symptoms",DECSUB,"Does the subject report a decline in 
memory (relative to previously attained 
abilities)?",Original UDS question,v1-3,x,reported
518,598,"B9
Clinician Judgment of Symptoms",DECIN,"Does the co-participant report a 
decline in subject’s memory (relative to 
previously attained abilities)?",Original UDS question,v1-3,x,reported
519,599,"B9
Clinician Judgment of Symptoms",DECCLIN,"Clinician believes there is a meaningful 
decline in memory, non-memory 
cognitive abilities, behavior, ability to 
manage his/her affairs, or there are 
motor/movement changes",Original UDS question,v1-2,x,reported
520,600,"B9
Clinician Judgment of Symptoms",DECCLCOG,"Based on the clinician’s judgment, 
is the subject currently experiencing 
meaningful impairment in cognition?",Original UDS question,v3,x,reported
521,601,"B9
Clinician Judgment of Symptoms",COGMEM,"Indicate whether the subject currently 
is meaningfully impaired, relative to 
previously attained abilities, in memory",Original UDS question,v1-3,x,reported
522,602,"B9
Clinician Judgment of Symptoms",COGORI,"Indicate whether the subject is 
meaningfully impaired, relative 
to previously attained abilities, in 
orientation",Original UDS question,v3,x,reported
523,603,"B9
Clinician Judgment of Symptoms",COGJUDG,"Indicate whether the subject currently 
is meaningfully impaired, relative to 
previously attained abilities, in executive 
function — judgment, planning, or 
problem-solving",Original UDS question,v1-3,x,reported
524,604,"B9
Clinician Judgment of Symptoms",COGLANG,"Indicate whether the subject currently 
is meaningfully impaired, relative to 
previously attained abilities, in language",Original UDS question,v1-3,x,reported
525,605,"B9
Clinician Judgment of Symptoms",COGVIS,"Indicate whether the subject currently 
is meaningfully impaired, relative 
to previously attained abilities, in 
visuospatial function",Original UDS question,v1-3,x,reported
526,606,"B9
Clinician Judgment of Symptoms",COGATTN,"Indicate whether the subject currently 
is meaningfully impaired, relative to 
previously attained abilities, in attention 
or concentration",Original UDS question,v1-3,x,reported
527,607,"B9
Clinician Judgment of Symptoms",COGFLUC,"Indicate whether the subject currently 
has fluctuating cognition",Original UDS question,v2-3,x,reported
528,608,"B9
Clinician Judgment of Symptoms",COGFLAGO,"At what age did the fluctuating cognition 
begin?",Original UDS question,v3,x,reported
529,609,"B9
Clinician Judgment of Symptoms",COGOTHR,"Indicate whether the subject currently 
is meaningfully impaired, relative to 
previously attained abilities, in other 
cognitive domains",Original UDS question,v1-3,x,reported
530,612,"B9
Clinician Judgment of Symptoms",NACCCOGF,"Indicate the predominant symptom that 
was first recognized as a decline in the 
subject’s cognition",NACC derived variable,v1-3,x,reported
531,614,"B9
Clinician Judgment of Symptoms",COGMODE,Mode of onset of cognitive symptoms,Original UDS question,v1-3,x,reported
532,616,"B9
Clinician Judgment of Symptoms",DECAGE,"Based on clinician’s assessment, at what 
age did the cognitive decline begin?",Original UDS question,v1-3,x,reported
533,617,"B9
Clinician Judgment of Symptoms",DECCLBE,"Based on clinician’s judgment, is the 
subject currently experiencing any kind 
of behavioral symptoms?",Original UDS question,v3,x,reported
534,618,"B9
Clinician Judgment of Symptoms",BEAPATHY,"Subject currently manifests meaningful 
change in behavior — Apathy, withdrawal",Original UDS question,v1-3,x,reported
535,619,"B9
Clinician Judgment of Symptoms",BEDEP,"Subject currently manifests meaningful 
change in behavior — Depressed mood",Original UDS question,v1-3,x,reported
536,620,"B9
Clinician Judgment of Symptoms",BEVHALL,"Subject currently manifests meaningful 
change in behavior — Psychosis — 
Visual hallucinations",Original UDS question,v1-3,x,reported
537,621,"B9
Clinician Judgment of Symptoms",BEVWELL,"If yes, are the hallucinations well-formed 
and detailed?",Original UDS question,v2-3,x,reported
538,622,"B9
Clinician Judgment of Symptoms",BEVHAGO,"If well-formed, clear-cut visual 
hallucinations, at what age did these 
hallucinations begin?",Original UDS question,v3,x,reported
539,623,"B9
Clinician Judgment of Symptoms",BEAHALL,"Subject currently manifests meaningful 
change in behavior — Psychosis — 
Auditory hallucinations",Original UDS question,v1-3,x,reported
540,624,"B9
Clinician Judgment of Symptoms",BEDEL,"Subject currently manifests meaningful 
change in behavior — Psychosis — 
Abnormal, false, or delusional beliefs",Original UDS question,v1-3,x,reported
541,625,"B9
Clinician Judgment of Symptoms",BEDISIN,"Subject currently manifests meaningful 
change in behavior — Disinhibition",Original UDS question,v1-3,x,reported
542,626,"B9
Clinician Judgment of Symptoms",BEIRRIT,"Subject currently manifests meaningful 
change in behavior — Irritability",Original UDS question,v1-3,x,reported
543,627,"B9
Clinician Judgment of Symptoms",BEAGIT,"Subject currently manifests meaningful 
change in behavior — Agitation",Original UDS question,v1-3,x,reported
544,628,"B9
Clinician Judgment of Symptoms",BEPERCH,"Subject currently manifests meaningful 
change in behavior — Personality change",Original UDS question,v1-3,x,reported
545,629,"B9
Clinician Judgment of Symptoms",BEREM,"Subject currently manifests meaningful 
change in behavior — REM sleep 
behavior disorder",Original UDS question,v2-3,x,reported
546,630,"B9
Clinician Judgment of Symptoms",BEREMAGO,"If yes, at what age did the REM sleep 
behavior disorder begin?",Original UDS question,v3,x,reported
547,631,"B9
Clinician Judgment of Symptoms",BEANX,"Subject currently manifests meaningful 
change in behavior — Anxiety",Original UDS question,v3,x,reported
548,632,"B9
Clinician Judgment of Symptoms",BEOTHR,"Subject currently manifests meaningful 
change in behavior — Other",Original UDS question,v1-3,x,reported
549,635,"B9
Clinician Judgment of Symptoms",NACCBEHF,"Indicate the predominant symptom that 
was first recognized as a decline in the 
subject’s behavior",NACC derived variable,v1-3,x,reported
550,637,"B9
Clinician Judgment of Symptoms",BEMODE,Mode of onset of behavioral symptoms,Original UDS question,v1-3,x,reported
551,639,"B9
Clinician Judgment of Symptoms",BEAGE,"Based on the clinician’s assessment, at 
what age did the behavioral symptoms 
begin?",Original UDS question,v3,x,reported
552,640,"B9
Clinician Judgment of Symptoms",DECCLMOT,"Based on the clinician’s judgment, is the 
subject currently experiencing any motor 
symptoms?",Original UDS question,v3,x,reported
553,641,"B9
Clinician Judgment of Symptoms",MOGAIT,"Indicate whether the subject currently 
has meaningful changes in motor 
function — Gait disorder",Original UDS question,v1-3,x,reported
554,642,"B9
Clinician Judgment of Symptoms",MOFALLS,"Indicate whether the subject currently 
has meaningful changes in motor 
function — Falls",Original UDS question,v1-3,x,reported
555,643,"B9
Clinician Judgment of Symptoms",MOTREM,"Indicate whether the subject currently 
has meaningful changes in motor 
function — Tremor",Original UDS question,v1-3,x,reported
556,644,"B9
Clinician Judgment of Symptoms",MOSLOW,"Indicate whether the subject currently 
has meaningful changes in motor 
function — Slowness",Original UDS question,v1-3,x,reported
557,645,"B9
Clinician Judgment of Symptoms",NACCMOTF,"Indicate the predominant symptom that 
was first recognized as a decline in the 
subject’s motor function",NACC derived variable,v1-3,x,reported
558,646,"B9
Clinician Judgment of Symptoms",MOMODE,Mode of onset of motor symptoms,Original UDS question,v1-3,x,reported
559,648,"B9
Clinician Judgment of Symptoms",MOMOPARK,"Were changes in motor function 
suggestive of Parkinsonism?",Original UDS question,v2-3,x,reported
560,649,"B9
Clinician Judgment of Symptoms",PARKAGE,"If yes, at what age did the motor 
symptoms suggestive of Parkinsonism 
begin?",Original UDS question,v3,x,reported
561,650,"B9
Clinician Judgment of Symptoms",MOMOALS,"Were changes in motor function 
suggestive of amyotrophic lateral 
sclerosis?",Original UDS question,v3,x,reported
562,651,"B9
Clinician Judgment of Symptoms",ALSAGE,"If yes, at what age did the motor 
symptoms suggestive of ALS begin?",Original UDS question,v3,x,reported
563,652,"B9
Clinician Judgment of Symptoms",MOAGE,"Based on the clinician’s assessment, at 
what age did the motor changes begin?",Original UDS question,v3,x,reported
564,653,"B9
Clinician Judgment of Symptoms",COURSE,"Overall course of decline of cognitive/
behavioral/motor syndrome",Original UDS question,v1-3,x,reported
565,655,"B9
Clinician Judgment of Symptoms",FRSTCHG,"Indicate the predominant domain that 
was first recognized as changed in the 
subject",Original UDS question,v1-3,x,reported
566,656,"B9
Clinician Judgment of Symptoms",LBDEVAL,"Is the subject a potential candidate for 
further evaluation for Lewy body disease?",Original UDS question,v3,x,reported
567,657,"B9
Clinician Judgment of Symptoms",FTLDEVAL,"Is the subject a potential candidate for 
further evaluation for frontotemporal 
lobar degeneration?",Original UDS question,v3,x,reported
570,660,"C1
Neuropsychological Battery 
Summary Scores",MMSELAN,Language of MMSE administration,Original UDS question,v1-3,x,test
571,662,"C1
Neuropsychological Battery 
Summary Scores",MMSEVIS,"Subject was unable to complete one or 
more sections due to visual impairment",Original UDS question,v3,x,test
572,663,"C1
Neuropsychological Battery 
Summary Scores",MMSEHEAR,"Subject was unable to complete one or 
more sections due to hearing impairment",Original UDS question,v3,x,test
573,664,"C1
Neuropsychological Battery 
Summary Scores",MMSEORDA,Orientation subscale score — Time,Original UDS question,v1-3,x,test
574,665,"C1
Neuropsychological Battery 
Summary Scores",MMSEORLO,Orientation subscale score — Place,Original UDS question,v1-3,x,test
575,666,"C1
Neuropsychological Battery 
Summary Scores",PENTAGON,Intersecting pentagon subscale score,Original UDS question,v2-3,x,test
576,667,"C1
Neuropsychological Battery 
Summary Scores",NACCMMSE,Total MMSE score (using D-L-R-O-W),NACC derived variable,v1-3,x,test
578,669,"C1
Neuropsychological Battery 
Summary Scores",NPSYLAN,Language of test administration,Original UDS question,v1-3,x,test
579,671,"C1
Neuropsychological Battery 
Summary Scores",LOGIMO,"If this test has been administered to 
the subject within the past 3 months, 
specify the date previously administered 
(month)",Original UDS question,v1-3,x,test
580,672,"C1
Neuropsychological Battery 
Summary Scores",LOGIDAY,"If this test has been administered to 
the subject within the past 3 months, 
specify the date previously administered 
(day)",Original UDS question,v1-3,x,test
581,673,"C1
Neuropsychological Battery 
Summary Scores",LOGIYR,"If this test has been administered to 
the subject within the past 3 months, 
specify the date previously administered 
(year)",Original UDS question,v1-3,x,test
582,674,"C1
Neuropsychological Battery 
Summary Scores",LOGIPREV,"Total score from the previous test 
administration",Original UDS question,v1-3,x,test
583,675,"C1
Neuropsychological Battery 
Summary Scores",LOGIMEM,"Total number of story units recalled from 
this current test administration",Original UDS question,v1-3,x,test
584,677,"C1
Neuropsychological Battery 
Summary Scores",MEMUNITS,"Logical Memory IIA — Delayed — Total 
number of story units recalled",Original UDS question,v1-3,x,test
585,678,"C1
Neuropsychological Battery 
Summary Scores",MEMTIME,"Logical Memory IIA — Delayed — Time 
elapsed since Logical Memory IA — 
Immediate",Original UDS question,v1-3,x,test
586,679,"C1
Neuropsychological Battery 
Summary Scores",UDSBENTC,Total score for copy of Benson figure,Original UDS question,v3,x,test
587,680,"C1
Neuropsychological Battery 
Summary Scores",UDSBENTD,"Total score for 10- to 15-minute delayed 
drawing of Benson figure",Original UDS question,v3,x,test
588,681,"C1
Neuropsychological Battery 
Summary Scores",UDSBENRS,"Recognized original stimulus from 
among four options",Original UDS question,v3,x,test
589,682,"C1
Neuropsychological Battery 
Summary Scores",DIGIF,Digit span forward trials correct,Original UDS question,v1-3,x,test
590,683,"C1
Neuropsychological Battery 
Summary Scores",DIGIFLEN,Digit span forward length,Original UDS question,v1-3,x,test
591,684,"C1
Neuropsychological Battery 
Summary Scores",DIGIB,Digit span backward trials correct,Original UDS question,v1-3,x,test
592,685,"C1
Neuropsychological Battery 
Summary Scores",DIGIBLEN,Digit span backward length,Original UDS question,v1-3,x,test
593,686,"C1
Neuropsychological Battery 
Summary Scores",ANIMALS,"Animals — Total number of animals 
named in 60 seconds",Original UDS question,v1-3,x,test
594,687,"C1
Neuropsychological Battery 
Summary Scores",VEG,"Vegetable — Total number of vegetables 
named in 60 seconds",Original UDS question,v1-3,x,test
595,688,"C1
Neuropsychological Battery 
Summary Scores",TRAILA,"Trail Making Test Part A — Total number 
of seconds to complete",Original UDS question,v1-3,x,test
596,689,"C1
Neuropsychological Battery 
Summary Scores",TRAILARR,Part A — Number of commission errors,Original UDS question,v2-3,x,test
597,690,"C1
Neuropsychological Battery 
Summary Scores",TRAILALI,Part A — Number of correct lines,Original UDS question,v2-3,x,test
598,691,"C1
Neuropsychological Battery 
Summary Scores",TRAILB,"Trail Making Test Part B — Total number 
of seconds to complete",Original UDS question,v1-3,x,test
599,692,"C1
Neuropsychological Battery 
Summary Scores",TRAILBRR,Part B — Number of commission errors,Original UDS question,v2-3,x,test
600,693,"C1
Neuropsychological Battery 
Summary Scores",TRAILBLI,Part B — Number of correct lines,Original UDS question,v2-3,x,test
601,694,"C1
Neuropsychological Battery 
Summary Scores",WAIS,WAIS-R Digit Symbol,Original UDS question,v1-2,x,test
602,695,"C1
Neuropsychological Battery 
Summary Scores",BOSTON,Boston Naming Test (30) — Total score,Original UDS question,v1-3,x,test
603,696,"C1
Neuropsychological Battery 
Summary Scores",UDSVERFC,"Number of correct F-words generated in 
1 minute",Original UDS question,v3,x,test
604,697,"C1
Neuropsychological Battery 
Summary Scores",UDSVERFN,Number of F-words repeated in 1 minute,Original UDS question,v3,x,test
605,698,"C1
Neuropsychological Battery 
Summary Scores",UDSVERNF,"Number of non-F-words and rule 
violation errors in 1 minute",Original UDS question,v3,x,test
606,699,"C1
Neuropsychological Battery 
Summary Scores",UDSVERLC,"Number of correct L-words generated in 
1 minute",Original UDS question,v3,x,test
607,700,"C1
Neuropsychological Battery 
Summary Scores",UDSVERLR,Number of L-words repeated in 1 minute,Original UDS question,v3,x,test
608,702,"C1
Neuropsychological Battery 
Summary Scores",UDSVERLN,"Number of non-L-words and rule 
violation errors in 1 minute",Original UDS question,v3,x,test
609,703,"C1
Neuropsychological Battery 
Summary Scores",UDSVERTN,"Total number of correct F-words and 
L-words",Original UDS question,v3,x,test
610,704,"C1
Neuropsychological Battery 
Summary Scores",UDSVERTE,"Total number of F-word and L-word 
repetition errors",Original UDS question,v3,x,test
611,705,"C1
Neuropsychological Battery 
Summary Scores",UDSVERTI,"Total number of non-F/L-words and rule 
violation errors",Original UDS question,v3,x,test
612,706,"C1
Neuropsychological Battery 
Summary Scores",COGSTAT,"Per clinician, based on the 
neuropsychological examination, the 
subject’s cognitive status is deemed",Original UDS question,v1-3,x,test
615,709,"C2
Neuropsychological Battery Scores",MOCAREAS,"If no part of MoCA administered, reason 
code",Original UDS question,v3,x,test
617,711,"C2
Neuropsychological Battery Scores",MOCALAN,Language of MoCA administration,Original UDS question,v3,x,test
619,713,"C2
Neuropsychological Battery Scores",MOCAVIS,"Subject was unable to complete one or 
more sections due to visual impairment",Original UDS question,v3,x,test
620,714,"C2
Neuropsychological Battery Scores",MOCAHEAR,"Subject was unable to complete one or 
more sections due to hearing impairment",Original UDS question,v3,x,test
621,715,"C2
Neuropsychological Battery Scores",MOCATOTS,MoCA Total Raw Score — uncorrected,Original UDS question,v3,x,test
622,716,"C2
Neuropsychological Battery Scores",NACCMOCA,"MoCA Total Score — corrected for 
education",NACC derived variable,v3,x,test
623,717,"C2
Neuropsychological Battery Scores",MOCATRAI,MoCA: Visuospatial/executive — Trails,Original UDS question,v3,x,test
624,718,"C2
Neuropsychological Battery Scores",MOCACUBE,MoCA: Visuospatial/executive — Cube,Original UDS question,v3,x,test
625,719,"C2
Neuropsychological Battery Scores",MOCACLOC,"MoCA: Visuospatial/executive — Clock 
contour",Original UDS question,v3,x,test
626,720,"C2
Neuropsychological Battery Scores",MOCACLON,"MoCA: Visuospatial/executive — Clock 
numbers",Original UDS question,v3,x,test
627,721,"C2
Neuropsychological Battery Scores",MOCACLOH,"MoCA: Visuospatial/executive — Clock 
hands",Original UDS question,v3,x,test
628,722,"C2
Neuropsychological Battery Scores",MOCANAMI,MoCA: Language — Naming,Original UDS question,v3,x,test
629,723,"C2
Neuropsychological Battery Scores",MOCAREGI,"MoCA: Memory — Registration (two 
trials)",Original UDS question,v3,x,test
630,724,"C2
Neuropsychological Battery Scores",MOCADIGI,MoCA: Attention — Digits,Original UDS question,v3,x,test
631,725,"C2
Neuropsychological Battery Scores",MOCALETT,MoCA: Attention — Letter A,Original UDS question,v3,x,test
632,726,"C2
Neuropsychological Battery Scores",MOCASER7,MoCA: Attention — Serial 7s,Original UDS question,v3,x,test
633,727,"C2
Neuropsychological Battery Scores",MOCAREPE,MoCA: Language — Repetition,Original UDS question,v3,x,test
634,728,"C2
Neuropsychological Battery Scores",MOCAFLUE,MoCA: Language — Fluency,Original UDS question,v3,x,test
635,729,"C2
Neuropsychological Battery Scores",MOCAABST,MoCA: Abstraction,Original UDS question,v3,x,test
636,730,"C2
Neuropsychological Battery Scores",MOCARECN,MoCA: Delayed recall — No cue,Original UDS question,v3,x,test
637,731,"C2
Neuropsychological Battery Scores",MOCARECC,MoCA: Delayed recall — Category cue,Original UDS question,v3,x,test
638,733,"C2
Neuropsychological Battery Scores",MOCARECR,MoCA: Delayed recall — Recognition,Original UDS question,v3,x,test
639,734,"C2
Neuropsychological Battery Scores",MOCAORDT,MoCA: Orientation — Date,Original UDS question,v3,x,test
640,735,"C2
Neuropsychological Battery Scores",MOCAORMO,MoCA: Orientation — Month,Original UDS question,v3,x,test
641,736,"C2
Neuropsychological Battery Scores",MOCAORYR,MoCA: Orientation — Year,Original UDS question,v3,x,test
642,737,"C2
Neuropsychological Battery Scores",MOCAORDY,MoCA: Orientation — Day,Original UDS question,v3,x,test
643,738,"C2
Neuropsychological Battery Scores",MOCAORPL,MoCA: Orientation — Place,Original UDS question,v3,x,test
644,739,"C2
Neuropsychological Battery Scores",MOCAORCT,MoCA: Orientation — City,Original UDS question,v3,x,test
645,743,"C2
Neuropsychological Battery Scores",CRAFTVRS,"Craft Story 21 Recall (Immediate) — 
Total story units recalled, verbatim 
scoring",Original UDS question,v3,x,test
646,744,"C2
Neuropsychological Battery Scores",CRAFTURS,"Craft Story 21 Recall (Immediate) — 
Total story units recalled, paraphrase 
scoring",Original UDS question,v3,x,test
647,746,"C2
Neuropsychological Battery Scores",DIGFORCT,"Number Span Test: Forward — Number 
of correct trials",Original UDS question,v3,x,test
648,747,"C2
Neuropsychological Battery Scores",DIGFORSL,"Number Span Test: Forward — Longest 
span forward",Original UDS question,v3,x,test
649,748,"C2
Neuropsychological Battery Scores",DIGBACCT,"Number Span Test: Backward — Number 
of correct trials",Original UDS question,v3,x,test
650,749,"C2
Neuropsychological Battery Scores",DIGBACLS,"Number Span Test: Backward — Longest 
span backward",Original UDS question,v3,x,test
651,758,"C2
Neuropsychological Battery Scores",CRAFTDVR,"Craft Story 21 Recall (Delayed) — Total 
story units recalled, verbatim scoring",Original UDS question,v3,x,test
652,759,"C2
Neuropsychological Battery Scores",CRAFTDRE,"Craft Story 21 Recall (Delayed) — Total 
story units recalled, paraphrase scoring",Original UDS question,v3,x,test
653,760,"C2
Neuropsychological Battery Scores",CRAFTDTI,"Craft Story 21 Recall (Delayed) — Delay 
time",Original UDS question,v3,x,test
654,762,"C2
Neuropsychological Battery Scores",CRAFTCUE,"Craft Story 21 Recall (Delayed) — Cue 
(boy) needed",Original UDS question,v3,x,test
655,765,"C2
Neuropsychological Battery Scores",MINTTOTS,"Multilingual Naming Test (MINT) — 
Total score",Original UDS question,v3,x,test
