,,feature,cleared,categ,value to impute,,note,,,,,,,,,,,,
FTD,0,FTD,D,y,,1,value -4 treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (already included in NACCBVFT)
FTDIF,0,FTDIF,D,y,,1,value -4 treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (already included in NACCBVFT)
PPAPH,0,PPAPH,D,y,,1,value -4 treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (already included in NACCPPME)
PPAPHIF,0,PPAPHIF,D,y,,1,value -4 treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (already included in NACCPPME)
VASC,0,VASC,r,y,,1,"value -4 will be replaced by CVD (0=0, 1=1)",,,,,,,,,,,,
VASCIF,0,VASCIF,r,y,,1,"value -4 will be replaced by CVDIF (1=1, 2=2, 3,7=7, 8=8, 3=7)",,,,,,,,,,,,
STROKE,0,STROKE,r,y,,1,"value -4 will be replaced by PREVSTK (0=0, 1=1)",,,,,,,,,,,,
STROKIF,0,STROKIF,r,y,,1,"value -4 will be replaced by STROKDEC (0=0, 1=2, 8=8)",,,,,,,,,,,,
DOWNS,0,DOWNS,y,y,,0,,,,,,,,,,,,,
DOWNSIF,0,DOWNSIF,y,y,,0,,,,,,,,,,,,,
HUNT,0,HUNT,y,y,,0,,,,,,,,,,,,,
HUNTIF,0,HUNTIF,y,y,,0,,,,,,,,,,,,,
PRION,0,PRION,y,y,,0,,,,,,,,,,,,,
PRIONIF,0,PRIONIF,y,y,,0,,,,,,,,,,,,,
BRNINJ,0,BRNINJ,y,y,,0,,,,,,,,,,,,,
BRNINJIF,,BRNINJIF,y,y,,0,,,,,,,,,,,,,
HYCEPH,,HYCEPH,y,y,,0,,,,,,,,,,,,,
HYCEPHIF,,HYCEPHIF,y,y,,0,,,,,,,,,,,,,
NEOP,,NEOP,y,y,,0,,,,,,,,,,,,,
NEOPIF,,NEOPIF,y,y,,0,,,,,,,,,,,,,
DEP,,DEP,y,y,,0,,,,,,,,,,,,,
DEPIF,,DEPIF,y,y,,0,,,,,,,,,,,,,
OTHPSY,,OTHPSY,y,y,,0,,,,,,,,,,,,,
OTHPSYIF,,OTHPSYIF,y,y,,0,,,,,,,,,,,,,
ALCDEM,,ALCDEM,y,y,,0,,,,,,,,,,,,,
ALCDEMIF,,ALCDEMIF,y,y,,0,,,,,,,,,,,,,
DYSILL,,DYSILL,y,y,,0,,,,,,,,,,,,,
DYSILLIF,,DYSILLIF,y,y,,0,,,,,,,,,,,,,
MEDS,,MEDS,y,y,,0,,,,,,,,,,,,,
MEDSIF,,MEDSIF,y,y,,0,,,,,,,,,,,,,
DEMUN,,DEMUN,D,y,,1,value -4 treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (not gonna be useful)
DEMUNIF,,DEMUNIF,D,y,,1,value -4 treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (not gonna be useful)
COGOTH,,COGOTH,y,y,,0,,,,,,,,,,,,,
COGOTHIF,,COGOTHIF,y,y,,0,,,,,,,,,,,,,
NACCETPR,,NACCETPR,y,y,,0,,,,,,,,,,,,,
NACCADMU,,NACCADMU,y,y,,0,,,,,,,,,,,,,
NACCFTDM,,NACCFTDM,y,y,,0,,,,,,,,,,,,,
NACCAGEB,,NACCAGEB,y,n,,0,,,,,,,,,,,,,
NACCNIHR,,NACCNIHR,y,y,,0,,,,,,,,,,,,,
NACCNORM,,NACCNORM,y,y,,0,,,,,,,,,,,,,
NACCIDEM,,NACCIDEM,y,y,,0,,,,,,,,,,,,,
NACCAGE,,NACCAGE,y,n,,0,,,,,,,,,,,,,
NACCAAAS,,NACCAAAS,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCAANX,,NACCAANX,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCAC,,NACCAC,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCACEI,,NACCACEI,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCADEP,,NACCADEP,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCADMD,,NACCADMD,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCAHTN,,NACCAHTN,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCAMD,,NACCAMD,i,n,-4,0,take mean,,,,,,,,,,,,
NACCANGI,,NACCANGI,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCAPSY,,NACCAPSY,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCBETA,,NACCBETA,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCCCBS,,NACCCCBS,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCDBMD,,NACCDBMD,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCDIUR,,NACCDIUR,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCEMD,,NACCEMD,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCEPMD,,NACCEPMD,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCHTNC,,NACCHTNC,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCLIPL,,NACCLIPL,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCNSD,,NACCNSD,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCPDMD,,NACCPDMD,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCVASD,,NACCVASD,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCBMI,,NACCBMI,D,n,,0,dropping because total unknown ~1000 from 5000 cases,,,,,,,,,,,,
NACCUDSD,,NACCUDSD,y,n,,0,,,,,,,,,,,,,
NACCMOD,,NACCMOD,y,y,,0,,,,,,,,,,,,,
NACCYOD,,NACCYOD,y,y,,0,,,,,,,,,,,,,
NACCAPOE,,NACCNE4S,y,y,,0,,,,,,,,,,,,,
NACCNE4S,,NACCAPOE,y,y,,0,,,,,,,,,,,,,
NPSEX,,NPSEX,y,y,,0,,,,,,,,,,,,,
NPPMIH,,NPPMIH,D,n,,0,dropping because total unknown ~3000 from 5000 cases,,,,,,,,,,,,
NACCDOWN,,NACCDOWN,y,y,,0,,,,,,,,,,,,,
NACCDAGE,,NACCDAGE,y,n,,0,,,,,,,,,,,,,
NACCINT,,NACCINT,y,n,,0,,,,,,,,,,,,,
